flowId,packetId,arrivalTime,startTime,finishTime,length,transmitted
10,1,0.0,0.0,5.7798457E-6,1000.0,1000.0
20,1,0.0,5.7798457E-6,1.1559691E-5,1000.0,1000.0
9,1,0.0,1.1559691E-5,1.7339536E-5,1000.0,1000.0
19,1,0.0,1.7339536E-5,2.3119383E-5,1000.0,1000.0
1,1,0.0,2.3119383E-5,2.8899229E-5,1000.0,1000.0
2,1,0.0,2.8899229E-5,3.4679073E-5,1000.0,1000.0
3,1,0.0,3.4679073E-5,4.045892E-5,1000.0,1000.0
4,1,0.0,4.045892E-5,4.6238765E-5,1000.0,1000.0
5,1,0.0,4.6238765E-5,5.201861E-5,1000.0,1000.0
6,1,0.0,5.201861E-5,5.7798457E-5,1000.0,1000.0
7,1,0.0,5.7798457E-5,6.35783E-5,1000.0,1000.0
8,1,0.0,6.35783E-5,6.9358146E-5,1000.0,1000.0
11,1,0.0,6.9358146E-5,7.513799E-5,1000.0,1000.0
12,1,0.0,7.513799E-5,8.091784E-5,1000.0,1000.0
13,1,0.0,8.091784E-5,8.6697684E-5,1000.0,1000.0
14,1,0.0,8.6697684E-5,9.247753E-5,1000.0,1000.0
15,1,0.0,9.247753E-5,9.825738E-5,1000.0,1000.0
17,1,0.0,9.825738E-5,1.0403722E-4,1000.0,1000.0
16,1,0.0,1.0403722E-4,1.0981707E-4,1000.0,1000.0
18,1,0.0,1.0981707E-4,1.15596915E-4,1000.0,1000.0
10,2,8.0186015E-5,1.15596915E-4,1.2137676E-4,1000.0,1000.0
20,2,1.1559691E-5,1.2137676E-4,1.271566E-4,1000.0,1000.0
9,2,8.916161E-5,1.271566E-4,1.3293645E-4,1000.0,1000.0
19,2,1.1559691E-5,1.3293645E-4,1.3871629E-4,1000.0,1000.0
7,2,1.1446659E-4,1.3871629E-4,1.4449614E-4,1000.0,1000.0
8,2,1.00282035E-4,1.4449614E-4,1.5027598E-4,1000.0,1000.0
11,2,1.1559691E-5,1.5027598E-4,1.5605583E-4,1000.0,1000.0
12,2,1.1559691E-5,1.5605583E-4,1.6183568E-4,1000.0,1000.0
13,2,1.1559691E-5,1.6183568E-4,1.6761552E-4,1000.0,1000.0
14,2,1.1559691E-5,1.6761552E-4,1.7339537E-4,1000.0,1000.0
15,2,1.1559691E-5,1.7339537E-4,1.7917521E-4,1000.0,1000.0
17,2,1.1559691E-5,1.7917521E-4,1.8495506E-4,1000.0,1000.0
16,2,1.1559691E-5,1.8495506E-4,1.907349E-4,1000.0,1000.0
18,2,1.1559691E-5,1.907349E-4,1.9651475E-4,1000.0,1000.0
6,2,1.3351138E-4,1.9651475E-4,2.022946E-4,1000.0,1000.0
5,2,1.6033242E-4,2.022946E-4,2.0807445E-4,1000.0,1000.0
10,3,8.036613E-5,2.0807445E-4,2.1385429E-4,1000.0,1000.0
20,3,2.3119383E-5,2.1385429E-4,2.1963414E-4,1000.0,1000.0
4,2,2.0036602E-4,2.1963414E-4,2.2541398E-4,1000.0,1000.0
9,3,1.6118996E-4,2.2541398E-4,2.3119383E-4,1000.0,1000.0
19,3,2.3119383E-5,2.3119383E-4,2.3697368E-4,1000.0,1000.0
11,3,2.3119383E-5,2.3697368E-4,2.4275352E-4,1000.0,1000.0
12,3,2.3119383E-5,2.4275352E-4,2.4853335E-4,1000.0,1000.0
13,3,2.3119383E-5,2.4853335E-4,2.543132E-4,1000.0,1000.0
14,3,2.3119383E-5,2.543132E-4,2.6009305E-4,1000.0,1000.0
15,3,2.3119383E-5,2.6009305E-4,2.658729E-4,1000.0,1000.0
17,3,2.3119383E-5,2.658729E-4,2.7165274E-4,1000.0,1000.0
16,3,2.3119383E-5,2.7165274E-4,2.7743258E-4,1000.0,1000.0
18,3,2.3119383E-5,2.7743258E-4,2.8321243E-4,1000.0,1000.0
7,3,2.1179747E-4,2.8321243E-4,2.8899228E-4,1000.0,1000.0
8,3,2.2987128E-4,2.8899228E-4,2.9477212E-4,1000.0,1000.0
5,3,1.9620117E-4,2.9477212E-4,3.0055197E-4,1000.0,1000.0
3,2,2.668249E-4,3.0055197E-4,3.063318E-4,1000.0,1000.0
10,4,1.8069141E-4,3.063318E-4,3.1211166E-4,1000.0,1000.0
20,4,3.4679073E-5,3.1211166E-4,3.178915E-4,1000.0,1000.0
19,4,3.4679073E-5,3.178915E-4,3.2367135E-4,1000.0,1000.0
4,3,2.9978534E-4,3.2367135E-4,3.294512E-4,1000.0,1000.0
11,4,3.4679073E-5,3.294512E-4,3.3523105E-4,1000.0,1000.0
12,4,3.4679073E-5,3.3523105E-4,3.410109E-4,1000.0,1000.0
13,4,3.4679073E-5,3.410109E-4,3.4679074E-4,1000.0,1000.0
14,4,3.4679073E-5,3.4679074E-4,3.5257058E-4,1000.0,1000.0
15,4,3.4679073E-5,3.5257058E-4,3.5835043E-4,1000.0,1000.0
17,4,3.4679073E-5,3.5835043E-4,3.6413028E-4,1000.0,1000.0
16,4,3.4679073E-5,3.6413028E-4,3.6991012E-4,1000.0,1000.0
18,4,3.4679073E-5,3.6991012E-4,3.7568997E-4,1000.0,1000.0
7,4,2.7295077E-4,3.7568997E-4,3.814698E-4,1000.0,1000.0
6,3,3.146516E-4,3.814698E-4,3.8724966E-4,1000.0,1000.0
8,4,3.1494861E-4,3.8724966E-4,3.930295E-4,1000.0,1000.0
5,4,2.4384937E-4,3.930295E-4,3.9880935E-4,1000.0,1000.0
3,3,3.3330062E-4,3.9880935E-4,4.045892E-4,1000.0,1000.0
20,5,4.6238765E-5,4.045892E-4,4.1036904E-4,1000.0,1000.0
10,5,3.680112E-4,4.1036904E-4,4.161489E-4,1000.0,1000.0
11,5,4.6238765E-5,4.161489E-4,4.2192874E-4,1000.0,1000.0
12,5,4.6238765E-5,4.2192874E-4,4.2770858E-4,1000.0,1000.0
13,5,4.6238765E-5,4.2770858E-4,4.3348843E-4,1000.0,1000.0
14,5,4.6238765E-5,4.3348843E-4,4.3926827E-4,1000.0,1000.0
15,5,4.6238765E-5,4.3926827E-4,4.4504812E-4,1000.0,1000.0
17,5,4.6238765E-5,4.4504812E-4,4.5082797E-4,1000.0,1000.0
16,5,4.6238765E-5,4.5082797E-4,4.566078E-4,1000.0,1000.0
19,5,4.6238765E-5,4.566078E-4,4.6238766E-4,1000.0,1000.0
18,5,4.6238765E-5,4.6238766E-4,4.681675E-4,1000.0,1000.0
2,2,4.001385E-4,4.681675E-4,4.7394735E-4,1000.0,1000.0
7,5,3.0447525E-4,4.7394735E-4,4.797272E-4,1000.0,1000.0
8,5,3.5664794E-4,4.797272E-4,4.8550704E-4,1000.0,1000.0
5,5,4.3978216E-4,4.8550704E-4,4.9128686E-4,1000.0,1000.0
