flowId,currentTime,minimumBandwidth,allocatedBandwidth
1,0.0,1048.576,1572.8638
2,0.0,2097.152,3145.7275
3,0.0,3145.728,4718.5913
4,0.0,4194.304,6291.455
5,0.0,5242.88,7864.3184
6,0.0,6291.456,9437.183
7,0.0,7340.032,11010.047
8,0.0,8388.608,12582.91
9,0.0,9437.184,14155.773
10,0.0,10485.76,15728.637
11,0.0,1048.576,1572.8638
12,0.0,2097.152,3145.7275
13,0.0,3145.728,4718.5913
14,0.0,4194.304,6291.455
15,0.0,5242.88,7864.3184
17,0.0,7340.032,11010.047
16,0.0,6291.456,9437.183
19,0.0,9437.184,14155.773
18,0.0,8388.608,12582.91
20,0.0,10485.76,15728.637
1,6.935814599273726E-5,1048.576,1730.1501
2,6.935814599273726E-5,2097.152,3460.3003
3,6.935814599273726E-5,3145.728,5190.4497
4,6.935814599273726E-5,4194.304,6920.6006
5,6.935814599273726E-5,5242.88,8650.749
6,6.935814599273726E-5,6291.456,10380.899
7,6.935814599273726E-5,7340.032,12111.05
8,6.935814599273726E-5,8388.608,13841.201
9,6.935814599273726E-5,9437.184,15571.35
10,6.935814599273726E-5,10485.76,0.0
11,6.935814599273726E-5,1048.576,1730.1501
12,6.935814599273726E-5,2097.152,3460.3003
13,6.935814599273726E-5,3145.728,5190.4497
14,6.935814599273726E-5,4194.304,6920.6006
15,6.935814599273726E-5,5242.88,8650.749
17,6.935814599273726E-5,7340.032,12111.05
16,6.935814599273726E-5,6291.456,10380.899
19,6.935814599273726E-5,9437.184,15571.35
18,6.935814599273726E-5,8388.608,13841.201
20,6.935814599273726E-5,10485.76,17301.498
1,8.018601511139423E-5,1048.576,1860.3763
2,8.018601511139423E-5,2097.152,3720.7527
3,8.018601511139423E-5,3145.728,5581.129
4,8.018601511139423E-5,4194.304,7441.5054
5,8.018601511139423E-5,5242.88,9301.881
6,8.018601511139423E-5,6291.456,11162.258
7,8.018601511139423E-5,7340.032,13022.635
8,8.018601511139423E-5,8388.608,0.0
9,8.018601511139423E-5,9437.184,0.0
10,8.018601511139423E-5,10485.76,18603.762
11,8.018601511139423E-5,1048.576,1860.3763
12,8.018601511139423E-5,2097.152,3720.7527
13,8.018601511139423E-5,3145.728,5581.129
14,8.018601511139423E-5,4194.304,7441.5054
15,8.018601511139423E-5,5242.88,9301.881
17,8.018601511139423E-5,7340.032,13022.635
16,8.018601511139423E-5,6291.456,11162.258
19,8.018601511139423E-5,9437.184,16743.387
18,8.018601511139423E-5,8388.608,14883.011
20,8.018601511139423E-5,10485.76,18603.762
1,8.916160732042044E-5,1048.576,1821.2108
2,8.916160732042044E-5,2097.152,3642.4216
3,8.916160732042044E-5,3145.728,5463.6323
4,8.916160732042044E-5,4194.304,7284.8433
5,8.916160732042044E-5,5242.88,9106.054
6,8.916160732042044E-5,6291.456,10927.265
7,8.916160732042044E-5,7340.032,0.0
8,8.916160732042044E-5,8388.608,0.0
9,8.916160732042044E-5,9437.184,16390.895
10,8.916160732042044E-5,10485.76,18212.107
11,8.916160732042044E-5,1048.576,1821.2108
12,8.916160732042044E-5,2097.152,3642.4216
13,8.916160732042044E-5,3145.728,5463.6323
14,8.916160732042044E-5,4194.304,7284.8433
15,8.916160732042044E-5,5242.88,9106.054
17,8.916160732042044E-5,7340.032,12748.476
16,8.916160732042044E-5,6291.456,10927.265
19,8.916160732042044E-5,9437.184,16390.895
18,8.916160732042044E-5,8388.608,14569.687
20,8.916160732042044E-5,10485.76,18212.107
1,1.0028203541878611E-4,1048.576,1679.7574
2,1.0028203541878611E-4,2097.152,3359.515
3,1.0028203541878611E-4,3145.728,5039.272
4,1.0028203541878611E-4,4194.304,6719.03
5,1.0028203541878611E-4,5242.88,8398.787
6,1.0028203541878611E-4,6291.456,10078.544
7,1.0028203541878611E-4,7340.032,0.0
8,1.0028203541878611E-4,8388.608,13438.06
9,1.0028203541878611E-4,9437.184,15117.816
10,1.0028203541878611E-4,10485.76,16797.574
11,1.0028203541878611E-4,1048.576,1679.7574
12,1.0028203541878611E-4,2097.152,3359.515
13,1.0028203541878611E-4,3145.728,5039.272
14,1.0028203541878611E-4,4194.304,6719.03
15,1.0028203541878611E-4,5242.88,8398.787
17,1.0028203541878611E-4,7340.032,11758.302
16,1.0028203541878611E-4,6291.456,10078.544
19,1.0028203541878611E-4,9437.184,15117.816
18,1.0028203541878611E-4,8388.608,13438.06
20,1.0028203541878611E-4,10485.76,16797.574
1,1.040372226270847E-4,1048.576,1783.6599
2,1.040372226270847E-4,2097.152,3567.3198
3,1.040372226270847E-4,3145.728,5350.9795
4,1.040372226270847E-4,4194.304,7134.6396
5,1.040372226270847E-4,5242.88,8918.3
6,1.040372226270847E-4,6291.456,0.0
7,1.040372226270847E-4,7340.032,0.0
8,1.040372226270847E-4,8388.608,14269.279
9,1.040372226270847E-4,9437.184,16052.9375
10,1.040372226270847E-4,10485.76,17836.6
11,1.040372226270847E-4,1048.576,1783.6599
12,1.040372226270847E-4,2097.152,3567.3198
13,1.040372226270847E-4,3145.728,5350.9795
14,1.040372226270847E-4,4194.304,7134.6396
15,1.040372226270847E-4,5242.88,8918.3
17,1.040372226270847E-4,7340.032,12485.619
16,1.040372226270847E-4,6291.456,10701.959
19,1.040372226270847E-4,9437.184,16052.9375
18,1.040372226270847E-4,8388.608,14269.279
20,1.040372226270847E-4,10485.76,17836.6
1,1.1446658754721284E-4,1048.576,1663.606
2,1.1446658754721284E-4,2097.152,3327.212
3,1.1446658754721284E-4,3145.728,4990.818
4,1.1446658754721284E-4,4194.304,6654.424
5,1.1446658754721284E-4,5242.88,8318.029
6,1.1446658754721284E-4,6291.456,0.0
7,1.1446658754721284E-4,7340.032,11645.241
8,1.1446658754721284E-4,8388.608,13308.848
9,1.1446658754721284E-4,9437.184,14972.452
10,1.1446658754721284E-4,10485.76,16636.059
11,1.1446658754721284E-4,1048.576,1663.606
12,1.1446658754721284E-4,2097.152,3327.212
13,1.1446658754721284E-4,3145.728,4990.818
14,1.1446658754721284E-4,4194.304,6654.424
15,1.1446658754721284E-4,5242.88,8318.029
17,1.1446658754721284E-4,7340.032,11645.241
16,1.1446658754721284E-4,6291.456,9981.636
19,1.1446658754721284E-4,9437.184,14972.452
18,1.1446658754721284E-4,8388.608,13308.848
20,1.1446658754721284E-4,10485.76,16636.059
1,1.2715659977402538E-4,1048.576,1747.6265
2,1.2715659977402538E-4,2097.152,3495.253
3,1.2715659977402538E-4,3145.728,5242.879
4,1.2715659977402538E-4,4194.304,6990.506
5,1.2715659977402538E-4,5242.88,0.0
6,1.2715659977402538E-4,6291.456,0.0
7,1.2715659977402538E-4,7340.032,12233.385
8,1.2715659977402538E-4,8388.608,13981.012
9,1.2715659977402538E-4,9437.184,15728.636
10,1.2715659977402538E-4,10485.76,17476.262
11,1.2715659977402538E-4,1048.576,1747.6265
12,1.2715659977402538E-4,2097.152,3495.253
13,1.2715659977402538E-4,3145.728,5242.879
14,1.2715659977402538E-4,4194.304,6990.506
15,1.2715659977402538E-4,5242.88,8738.131
17,1.2715659977402538E-4,7340.032,12233.385
16,1.2715659977402538E-4,6291.456,10485.758
19,1.2715659977402538E-4,9437.184,15728.636
18,1.2715659977402538E-4,8388.608,13981.012
20,1.2715659977402538E-4,10485.76,17476.262
1,1.335113774985075E-4,1048.576,1647.762
2,1.335113774985075E-4,2097.152,3295.524
3,1.335113774985075E-4,3145.728,4943.286
4,1.335113774985075E-4,4194.304,6591.048
5,1.335113774985075E-4,5242.88,0.0
6,1.335113774985075E-4,6291.456,9886.572
7,1.335113774985075E-4,7340.032,11534.334
8,1.335113774985075E-4,8388.608,13182.096
9,1.335113774985075E-4,9437.184,14829.857
10,1.335113774985075E-4,10485.76,16477.62
11,1.335113774985075E-4,1048.576,1647.762
12,1.335113774985075E-4,2097.152,3295.524
13,1.335113774985075E-4,3145.728,4943.286
14,1.335113774985075E-4,4194.304,6591.048
15,1.335113774985075E-4,5242.88,8238.81
17,1.335113774985075E-4,7340.032,11534.334
16,1.335113774985075E-4,6291.456,9886.572
19,1.335113774985075E-4,9437.184,14829.857
18,1.335113774985075E-4,8388.608,13182.096
20,1.335113774985075E-4,10485.76,16477.62
1,1.6033241990953684E-4,1048.576,1783.6599
2,1.6033241990953684E-4,2097.152,3567.3198
3,1.6033241990953684E-4,3145.728,5350.9795
4,1.6033241990953684E-4,4194.304,0.0
5,1.6033241990953684E-4,5242.88,8918.3
6,1.6033241990953684E-4,6291.456,10701.959
7,1.6033241990953684E-4,7340.032,12485.619
8,1.6033241990953684E-4,8388.608,14269.279
9,1.6033241990953684E-4,9437.184,0.0
10,1.6033241990953684E-4,10485.76,17836.6
11,1.6033241990953684E-4,1048.576,1783.6599
12,1.6033241990953684E-4,2097.152,3567.3198
13,1.6033241990953684E-4,3145.728,5350.9795
14,1.6033241990953684E-4,4194.304,7134.6396
15,1.6033241990953684E-4,5242.88,8918.3
17,1.6033241990953684E-4,7340.032,12485.619
16,1.6033241990953684E-4,6291.456,10701.959
19,1.6033241990953684E-4,9437.184,16052.9375
18,1.6033241990953684E-4,8388.608,14269.279
20,1.6033241990953684E-4,10485.76,17836.6
1,1.611899642739445E-4,1048.576,1632.217
2,1.611899642739445E-4,2097.152,3264.434
3,1.611899642739445E-4,3145.728,4896.651
4,1.611899642739445E-4,4194.304,0.0
5,1.611899642739445E-4,5242.88,8161.085
6,1.611899642739445E-4,6291.456,9793.302
7,1.611899642739445E-4,7340.032,11425.519
8,1.611899642739445E-4,8388.608,13057.736
9,1.611899642739445E-4,9437.184,14689.952
10,1.611899642739445E-4,10485.76,16322.17
11,1.611899642739445E-4,1048.576,1632.217
12,1.611899642739445E-4,2097.152,3264.434
13,1.611899642739445E-4,3145.728,4896.651
14,1.611899642739445E-4,4194.304,6528.868
15,1.611899642739445E-4,5242.88,8161.085
17,1.611899642739445E-4,7340.032,11425.519
16,1.611899642739445E-4,6291.456,9793.302
19,1.611899642739445E-4,9437.184,14689.952
18,1.611899642739445E-4,8388.608,13057.736
20,1.611899642739445E-4,10485.76,16322.17
1,1.8069140787702054E-4,1048.576,1765.4594
2,1.8069140787702054E-4,2097.152,3530.9187
3,1.8069140787702054E-4,3145.728,5296.3774
4,1.8069140787702054E-4,4194.304,0.0
5,1.8069140787702054E-4,5242.88,8827.296
6,1.8069140787702054E-4,6291.456,10592.755
7,1.8069140787702054E-4,7340.032,12358.215
8,1.8069140787702054E-4,8388.608,0.0
9,1.8069140787702054E-4,9437.184,15889.133
10,1.8069140787702054E-4,10485.76,17654.592
11,1.8069140787702054E-4,1048.576,1765.4594
12,1.8069140787702054E-4,2097.152,3530.9187
13,1.8069140787702054E-4,3145.728,5296.3774
14,1.8069140787702054E-4,4194.304,7061.8374
15,1.8069140787702054E-4,5242.88,8827.296
17,1.8069140787702054E-4,7340.032,12358.215
16,1.8069140787702054E-4,6291.456,10592.755
19,1.8069140787702054E-4,9437.184,15889.133
18,1.8069140787702054E-4,8388.608,14123.675
20,1.8069140787702054E-4,10485.76,17654.592
1,2.0036601927131414E-4,1048.576,1880.5979
2,2.0036601927131414E-4,2097.152,3761.1958
3,2.0036601927131414E-4,3145.728,0.0
4,2.0036601927131414E-4,4194.304,7522.3916
5,2.0036601927131414E-4,5242.88,9402.989
6,2.0036601927131414E-4,6291.456,11283.587
7,2.0036601927131414E-4,7340.032,0.0
8,2.0036601927131414E-4,8388.608,0.0
9,2.0036601927131414E-4,9437.184,16925.38
10,2.0036601927131414E-4,10485.76,18805.979
11,2.0036601927131414E-4,1048.576,1880.5979
12,2.0036601927131414E-4,2097.152,3761.1958
13,2.0036601927131414E-4,3145.728,5641.7935
14,2.0036601927131414E-4,4194.304,7522.3916
15,2.0036601927131414E-4,5242.88,9402.989
17,2.0036601927131414E-4,7340.032,13164.186
16,2.0036601927131414E-4,6291.456,11283.587
19,2.0036601927131414E-4,9437.184,16925.38
18,2.0036601927131414E-4,8388.608,15044.783
20,2.0036601927131414E-4,10485.76,18805.979
1,2.117974654538557E-4,1048.576,1747.6265
2,2.117974654538557E-4,2097.152,3495.253
3,2.117974654538557E-4,3145.728,0.0
4,2.117974654538557E-4,4194.304,6990.506
5,2.117974654538557E-4,5242.88,8738.131
6,2.117974654538557E-4,6291.456,10485.758
7,2.117974654538557E-4,7340.032,12233.385
8,2.117974654538557E-4,8388.608,0.0
9,2.117974654538557E-4,9437.184,15728.636
10,2.117974654538557E-4,10485.76,17476.262
11,2.117974654538557E-4,1048.576,1747.6265
12,2.117974654538557E-4,2097.152,3495.253
13,2.117974654538557E-4,3145.728,5242.879
