flowId,timestamp,totalData,totalPackets
1,0.0,0.0,0
2,0.0,0.0,0
3,0.0,0.0,0
4,0.0,0.0,0
5,0.0,0.0,0
6,0.0,0.0,0
7,0.0,0.0,0
8,0.0,0.0,0
9,0.0,0.0,0
10,0.0,0.0,0
11,0.0,0.0,0
12,0.0,0.0,0
13,0.0,0.0,0
14,0.0,0.0,0
15,0.0,0.0,0
17,0.0,0.0,0
16,0.0,0.0,0
19,0.0,0.0,0
18,0.0,0.0,0
20,0.0,0.0,0
1,0.02,21000.0,21
2,0.02,42000.0,42
3,0.02,63000.0,63
4,0.02,84000.0,84
5,0.02,105000.0,105
6,0.02,126000.0,126
7,0.02,147000.0,147
8,0.02,168000.0,168
9,0.02,189000.0,189
10,0.02,210000.0,210
11,0.02,39000.0,39
12,0.02,74000.0,74
13,0.02,106000.0,106
14,0.02,127000.0,127
15,0.02,184000.0,184
17,0.02,253000.0,253
16,0.02,177000.0,177
19,0.02,318000.0,318
18,0.02,255000.0,255
20,0.02,344000.0,344
1,0.04,42000.0,42
2,0.04,84000.0,84
3,0.04,126000.0,126
4,0.04,168000.0,168
5,0.04,210000.0,210
6,0.04,252000.0,252
7,0.04,294000.0,294
8,0.04,336000.0,336
9,0.04,378000.0,378
10,0.04,420000.0,420
11,0.04,80000.0,80
12,0.04,143000.0,143
13,0.04,202000.0,202
14,0.04,267000.0,267
15,0.04,375000.0,375
17,0.04,516000.0,516
16,0.04,401000.0,401
19,0.04,629000.0,629
18,0.04,551000.0,551
20,0.04,729000.0,729
1,0.06,63000.0,63
2,0.06,126000.0,126
3,0.06,189000.0,189
4,0.06,252000.0,252
5,0.06,315000.0,315
6,0.06,378000.0,378
7,0.06,441000.0,441
8,0.06,504000.0,504
9,0.06,567000.0,567
10,0.06,629000.0,629
11,0.06,120000.0,120
12,0.06,214000.0,214
13,0.06,314000.0,314
14,0.06,401000.0,401
15,0.06,563000.0,563
17,0.06,778000.0,778
16,0.06,595000.0,595
19,0.06,979000.0,979
18,0.06,851000.0,851
20,0.06,1131000.0,1131
1,0.08,84000.0,84
2,0.08,168000.0,168
3,0.08,252000.0,252
4,0.08,336000.0,336
5,0.08,420000.0,420
6,0.08,504000.0,504
7,0.08,588000.0,588
8,0.08,671000.0,671
9,0.08,755000.0,755
10,0.08,839000.0,839
11,0.08,161000.0,161
12,0.08,287000.0,287
13,0.08,418000.0,418
14,0.08,552000.0,552
15,0.08,756000.0,756
17,0.08,1049000.0,1049
16,0.08,790000.0,790
19,0.08,1330000.0,1330
18,0.08,1117000.0,1117
20,0.08,1537000.0,1537
1,0.1,105000.0,105
2,0.1,210000.0,210
3,0.1,315000.0,315
4,0.1,420000.0,420
5,0.1,525000.0,525
6,0.1,629000.0,629
7,0.1,734000.0,734
8,0.1,839000.0,839
9,0.1,944000.0,944
10,0.1,1049000.0,1049
11,0.1,201000.0,201
12,0.1,368000.0,368
13,0.1,539000.0,539
14,0.1,714000.0,714
15,0.1,949000.0,949
17,0.1,1317000.0,1317
16,0.1,1024000.0,1024
19,0.1,1670000.0,1670
18,0.1,1401000.0,1401
20,0.1,1925000.0,1925
1,0.12000000000000001,126000.0,126
2,0.12000000000000001,252000.0,252
3,0.12000000000000001,378000.0,378
4,0.12000000000000001,503000.0,503
5,0.12000000000000001,629000.0,629
6,0.12000000000000001,755000.0,755
7,0.12000000000000001,881000.0,881
8,0.12000000000000001,1007000.0,1007
9,0.12000000000000001,1133000.0,1133
10,0.12000000000000001,1259000.0,1259
11,0.12000000000000001,242000.0,242
12,0.12000000000000001,450000.0,450
13,0.12000000000000001,659000.0,659
14,0.12000000000000001,875000.0,875
15,0.12000000000000001,1138000.0,1138
17,0.12000000000000001,1593000.0,1593
16,0.12000000000000001,1261000.0,1261
19,0.12000000000000001,2010000.0,2010
18,0.12000000000000001,1720000.0,1720
20,0.12000000000000001,2303000.0,2303
1,0.14,126000.0,126
2,0.14,252000.0,252
3,0.14,378000.0,378
4,0.14,504000.0,504
5,0.14,630000.0,630
6,0.14,755000.0,755
7,0.14,881000.0,881
8,0.14,1007000.0,1007
9,0.14,1133000.0,1133
10,0.14,1259000.0,1259
11,0.14,306000.0,306
12,0.14,576000.0,576
13,0.14,849000.0,849
14,0.14,1124000.0,1124
15,0.14,1452000.0,1452
17,0.14,2034000.0,2034
16,0.14,1637000.0,1637
19,0.14,2576000.0,2576
18,0.14,2222000.0,2222
20,0.14,2933000.0,2933
1,0.16,126000.0,126
2,0.16,252000.0,252
3,0.16,378000.0,378
4,0.16,504000.0,504
5,0.16,630000.0,630
6,0.16,755000.0,755
7,0.16,881000.0,881
8,0.16,1007000.0,1007
9,0.16,1133000.0,1133
10,0.16,1259000.0,1259
11,0.16,368000.0,368
12,0.16,701000.0,701
13,0.16,1037000.0,1037
14,0.16,1375000.0,1375
15,0.16,1767000.0,1767
17,0.16,2475000.0,2475
16,0.16,2015000.0,2015
19,0.16,3143000.0,3143
18,0.16,2725000.0,2725
20,0.16,3562000.0,3562
1,0.18,126000.0,126
2,0.18,252000.0,252
3,0.18,378000.0,378
4,0.18,504000.0,504
5,0.18,630000.0,630
6,0.18,755000.0,755
7,0.18,881000.0,881
8,0.18,1007000.0,1007
9,0.18,1133000.0,1133
10,0.18,1259000.0,1259
11,0.18,431000.0,431
12,0.18,827000.0,827
13,0.18,1226000.0,1226
14,0.18,1627000.0,1627
15,0.18,2082000.0,2082
17,0.18,2915000.0,2915
16,0.18,2393000.0,2393
19,0.18,3709000.0,3709
18,0.18,3227000.0,3227
20,0.18,4190000.0,4190
1,0.19999999999999998,126000.0,126
2,0.19999999999999998,252000.0,252
3,0.19999999999999998,378000.0,378
4,0.19999999999999998,504000.0,504
5,0.19999999999999998,630000.0,630
6,0.19999999999999998,755000.0,755
7,0.19999999999999998,881000.0,881
8,0.19999999999999998,1007000.0,1007
9,0.19999999999999998,1133000.0,1133
10,0.19999999999999998,1259000.0,1259
11,0.19999999999999998,494000.0,494
12,0.19999999999999998,953000.0,953
13,0.19999999999999998,1415000.0,1415
14,0.19999999999999998,1879000.0,1879
15,0.19999999999999998,2396000.0,2396
17,0.19999999999999998,3356000.0,3356
16,0.19999999999999998,2770000.0,2770
19,0.19999999999999998,4274000.0,4274
18,0.19999999999999998,3731000.0,3731
20,0.19999999999999998,4818000.0,4818
1,0.21999999999999997,126000.0,126
2,0.21999999999999997,252000.0,252
3,0.21999999999999997,378000.0,378
4,0.21999999999999997,504000.0,504
5,0.21999999999999997,630000.0,630
6,0.21999999999999997,755000.0,755
7,0.21999999999999997,881000.0,881
8,0.21999999999999997,1007000.0,1007
9,0.21999999999999997,1133000.0,1133
10,0.21999999999999997,1259000.0,1259
11,0.21999999999999997,557000.0,557
12,0.21999999999999997,1079000.0,1079
13,0.21999999999999997,1604000.0,1604
14,0.21999999999999997,2131000.0,2131
15,0.21999999999999997,2711000.0,2711
17,0.21999999999999997,3796000.0,3796
16,0.21999999999999997,3148000.0,3148
19,0.21999999999999997,4839000.0,4839
18,0.21999999999999997,4233000.0,4233
20,0.21999999999999997,5447000.0,5447
1,0.23999999999999996,126000.0,126
2,0.23999999999999996,252000.0,252
3,0.23999999999999996,378000.0,378
4,0.23999999999999996,504000.0,504
5,0.23999999999999996,630000.0,630
6,0.23999999999999996,755000.0,755
7,0.23999999999999996,881000.0,881
8,0.23999999999999996,1007000.0,1007
9,0.23999999999999996,1133000.0,1133
10,0.23999999999999996,1259000.0,1259
11,0.23999999999999996,620000.0,620
12,0.23999999999999996,1205000.0,1205
13,0.23999999999999996,1793000.0,1793
14,0.23999999999999996,2382000.0,2382
15,0.23999999999999996,3026000.0,3026
17,0.23999999999999996,4237000.0,4237
16,0.23999999999999996,3525000.0,3525
19,0.23999999999999996,5405000.0,5405
18,0.23999999999999996,4736000.0,4736
20,0.23999999999999996,6076000.0,6076
1,0.25999999999999995,126000.0,126
2,0.25999999999999995,252000.0,252
3,0.25999999999999995,378000.0,378
4,0.25999999999999995,504000.0,504
5,0.25999999999999995,630000.0,630
6,0.25999999999999995,755000.0,755
7,0.25999999999999995,881000.0,881
8,0.25999999999999995,1007000.0,1007
9,0.25999999999999995,1133000.0,1133
10,0.25999999999999995,1259000.0,1259
11,0.25999999999999995,683000.0,683
12,0.25999999999999995,1331000.0,1331
13,0.25999999999999995,1980000.0,1980
14,0.25999999999999995,2634000.0,2634
15,0.25999999999999995,3341000.0,3341
17,0.25999999999999995,4677000.0,4677
16,0.25999999999999995,3903000.0,3903
19,0.25999999999999995,5971000.0,5971
18,0.25999999999999995,5239000.0,5239
20,0.25999999999999995,6705000.0,6705
1,0.27999999999999997,126000.0,126
2,0.27999999999999997,252000.0,252
3,0.27999999999999997,378000.0,378
4,0.27999999999999997,504000.0,504
5,0.27999999999999997,630000.0,630
6,0.27999999999999997,755000.0,755
7,0.27999999999999997,881000.0,881
8,0.27999999999999997,1007000.0,1007
9,0.27999999999999997,1133000.0,1133
10,0.27999999999999997,1259000.0,1259
11,0.27999999999999997,746000.0,746
12,0.27999999999999997,1457000.0,1457
13,0.27999999999999997,2169000.0,2169
14,0.27999999999999997,2886000.0,2886
15,0.27999999999999997,3656000.0,3656
17,0.27999999999999997,5117000.0,5117
16,0.27999999999999997,4281000.0,4281
19,0.27999999999999997,6537000.0,6537
18,0.27999999999999997,5742000.0,5742
20,0.27999999999999997,7332000.0,7332
1,0.3,126000.0,126
2,0.3,252000.0,252
3,0.3,378000.0,378
4,0.3,504000.0,504
5,0.3,630000.0,630
6,0.3,755000.0,755
7,0.3,881000.0,881
8,0.3,1007000.0,1007
9,0.3,1133000.0,1133
10,0.3,1259000.0,1259
11,0.3,809000.0,809
12,0.3,1583000.0,1583
13,0.3,2357000.0,2357
14,0.3,3138000.0,3138
15,0.3,3969000.0,3969
17,0.3,5558000.0,5558
16,0.3,4659000.0,4659
19,0.3,7104000.0,7104
18,0.3,6245000.0,6245
20,0.3,7960000.0,7960
1,0.32,126000.0,126
2,0.32,252000.0,252
3,0.32,378000.0,378
4,0.32,504000.0,504
5,0.32,630000.0,630
6,0.32,755000.0,755
7,0.32,881000.0,881
8,0.32,1007000.0,1007
9,0.32,1133000.0,1133
10,0.32,1259000.0,1259
11,0.32,872000.0,872
12,0.32,1708000.0,1708
13,0.32,2547000.0,2547
14,0.32,3389000.0,3389
15,0.32,4284000.0,4284
17,0.32,6000000.0,6000
16,0.32,5038000.0,5038
19,0.32,7670000.0,7670
18,0.32,6747000.0,6747
20,0.32,8587000.0,8587
1,0.34,126000.0,126
2,0.34,252000.0,252
3,0.34,378000.0,378
4,0.34,504000.0,504
5,0.34,630000.0,630
6,0.34,755000.0,755
7,0.34,881000.0,881
8,0.34,1007000.0,1007
9,0.34,1133000.0,1133
10,0.34,1259000.0,1259
11,0.34,935000.0,935
12,0.34,1834000.0,1834
13,0.34,2736000.0,2736
14,0.34,3641000.0,3641
15,0.34,4598000.0,4598
17,0.34,6440000.0,6440
16,0.34,5416000.0,5416
19,0.34,8236000.0,8236
18,0.34,7250000.0,7250
20,0.34,9215000.0,9215
1,0.36000000000000004,126000.0,126
2,0.36000000000000004,252000.0,252
3,0.36000000000000004,378000.0,378
4,0.36000000000000004,504000.0,504
5,0.36000000000000004,630000.0,630
6,0.36000000000000004,755000.0,755
7,0.36000000000000004,881000.0,881
8,0.36000000000000004,1007000.0,1007
9,0.36000000000000004,1133000.0,1133
10,0.36000000000000004,1259000.0,1259
11,0.36000000000000004,998000.0,998
12,0.36000000000000004,1960000.0,1960
13,0.36000000000000004,2925000.0,2925
14,0.36000000000000004,3892000.0,3892
15,0.36000000000000004,4913000.0,4913
17,0.36000000000000004,6881000.0,6881
16,0.36000000000000004,5792000.0,5792
19,0.36000000000000004,8802000.0,8802
18,0.36000000000000004,7754000.0,7754
20,0.36000000000000004,9843000.0,9843
1,0.38000000000000006,126000.0,126
2,0.38000000000000006,252000.0,252
3,0.38000000000000006,378000.0,378
4,0.38000000000000006,504000.0,504
5,0.38000000000000006,630000.0,630
6,0.38000000000000006,755000.0,755
7,0.38000000000000006,881000.0,881
8,0.38000000000000006,1007000.0,1007
9,0.38000000000000006,1133000.0,1133
10,0.38000000000000006,1259000.0,1259
11,0.38000000000000006,1067000.0,1067
12,0.38000000000000006,2097000.0,2097
13,0.38000000000000006,3130000.0,3130
14,0.38000000000000006,4166000.0,4166
15,0.38000000000000006,5256000.0,5256
17,0.38000000000000006,7360000.0,7360
16,0.38000000000000006,6203000.0,6203
19,0.38000000000000006,9417000.0,9417
18,0.38000000000000006,8299000.0,8299
20,0.38000000000000006,1.0224E7,10224
1,0.4000000000000001,126000.0,126
2,0.4000000000000001,252000.0,252
3,0.4000000000000001,378000.0,378
4,0.4000000000000001,504000.0,504
5,0.4000000000000001,630000.0,630
6,0.4000000000000001,755000.0,755
7,0.4000000000000001,881000.0,881
8,0.4000000000000001,1007000.0,1007
9,0.4000000000000001,1133000.0,1133
10,0.4000000000000001,1259000.0,1259
11,0.4000000000000001,1144000.0,1144
12,0.4000000000000001,2251000.0,2251
13,0.4000000000000001,3361000.0,3361
14,0.4000000000000001,4474000.0,4474
15,0.4000000000000001,5640000.0,5640
17,0.4000000000000001,7899000.0,7899
16,0.4000000000000001,6664000.0,6664
19,0.4000000000000001,1.0108E7,10108
18,0.4000000000000001,8913000.0,8913
20,0.4000000000000001,1.0224E7,10224
1,0.4200000000000001,126000.0,126
2,0.4200000000000001,252000.0,252
3,0.4200000000000001,378000.0,378
4,0.4200000000000001,504000.0,504
5,0.4200000000000001,630000.0,630
6,0.4200000000000001,755000.0,755
7,0.4200000000000001,881000.0,881
8,0.4200000000000001,1007000.0,1007
9,0.4200000000000001,1133000.0,1133
10,0.4200000000000001,1259000.0,1259
11,0.4200000000000001,1238000.0,1238
12,0.4200000000000001,2439000.0,2439
13,0.4200000000000001,3643000.0,3643
14,0.4200000000000001,4851000.0,4851
15,0.4200000000000001,6112000.0,6112
17,0.4200000000000001,8557000.0,8557
16,0.4200000000000001,7227000.0,7227
19,0.4200000000000001,1.0183E7,10183
18,0.4200000000000001,9664000.0,9664
20,0.4200000000000001,1.0224E7,10224
1,0.4400000000000001,126000.0,126
2,0.4400000000000001,252000.0,252
3,0.4400000000000001,378000.0,378
4,0.4400000000000001,504000.0,504
5,0.4400000000000001,630000.0,630
6,0.4400000000000001,755000.0,755
7,0.4400000000000001,881000.0,881
8,0.4400000000000001,1007000.0,1007
9,0.4400000000000001,1133000.0,1133
10,0.4400000000000001,1259000.0,1259
